Method,Epsilon,Alpha,Num-Iters,Model,Miss-classification Rate,Output_Screenshot
PGD,0.05,0.1,40,CNN,0.0722,output/pgd/pgd_cnn_0.05-0.1-40.png
PGD,0.05,0.075,40,CNN,0.0661,output/pgd/pgd_cnn_0.05-0.075-40.png
PGD,0.05,0.05,40,CNN,0.0602,output/pgd/pgd_cnn_0.05-0.05-40.png
PGD,0.05,0.026,40,CNN,0.0489,output/pgd/pgd_cnn_0.05-0.026-40.png
PGD,0.05,0.001,40,CNN,0.0169,output/pgd/pgd_cnn_0.05-0.001-40.png
PGD,0.05,0.1,40,DNN,0.3368,output/pgd/pgd_dnn_0.05-0.1-40.png
PGD,0.05,0.075,40,DNN,0.297,output/pgd/pgd_dnn_0.05-0.075-40.png
PGD,0.05,0.05,40,DNN,0.2477,output/pgd/pgd_dnn_0.05-0.05-40.png
PGD,0.05,0.026,40,DNN,0.1857,output/pgd/pgd_dnn_0.05-0.026-40.png
PGD,0.05,0.001,40,DNN,0.0404,output/pgd/pgd_dnn_0.05-0.001-40.png
