Method,Epsilon,Alpha,Num-Iters,Model,Miss-classification Rate,Output_Screenshot
PGD,0.1,0.05,40,CNN,0.0608,output/pgd/pgd_cnn_0.1-0.05-40.png
PGD,0.075,0.05,40,CNN,0.0608,output/pgd/pgd_cnn_0.075-0.05-40.png
PGD,0.05,0.05,40,CNN,0.0602,output/pgd/pgd_cnn_0.05-0.05-40.png
PGD,0.026,0.05,40,CNN,0.0522,output/pgd/pgd_cnn_0.026-0.05-40.png
PGD,0.001,0.05,40,CNN,0.0113,output/pgd/pgd_cnn_0.001-0.05-40.png
PGD,0.1,0.05,40,DNN,0.2552,output/pgd/pgd_dnn_0.1-0.05-40.png
PGD,0.075,0.05,40,DNN,0.2542,output/pgd/pgd_dnn_0.075-0.05-40.png
PGD,0.05,0.05,40,DNN,0.2477,output/pgd/pgd_dnn_0.05-0.05-40.png
PGD,0.026,0.05,40,DNN,0.1461,output/pgd/pgd_dnn_0.026-0.05-40.png
PGD,0.001,0.05,40,DNN,0.0301,output/pgd/pgd_dnn_0.001-0.05-40.png
