Method,Epsilon,Alpha,Num-Iters,Model,Miss-classification Rate,Output_Screenshot
PGD-LINF,0.05,0.1,40,CNN,0.1496,output/pgd-linf/pgd-linf_cnn_0.05-0.1-40.png
PGD-LINF,0.05,0.075,40,CNN,0.1657,output/pgd-linf/pgd-linf_cnn_0.05-0.075-40.png
PGD-LINF,0.05,0.05,40,CNN,0.1826,output/pgd-linf/pgd-linf_cnn_0.05-0.05-40.png
PGD-LINF,0.05,0.026,40,CNN,0.1925,output/pgd-linf/pgd-linf_cnn_0.05-0.026-40.png
PGD-LINF,0.05,0.001,40,CNN,0.1091,output/pgd-linf/pgd-linf_cnn_0.05-0.001-40.png
PGD-LINF,0.05,0.1,40,DNN,0.5138,output/pgd-linf/pgd-linf_dnn_0.05-0.1-40.png
PGD-LINF,0.05,0.075,40,DNN,0.5141,output/pgd-linf/pgd-linf_dnn_0.05-0.075-40.png
PGD-LINF,0.05,0.05,40,DNN,0.5155,output/pgd-linf/pgd-linf_dnn_0.05-0.05-40.png
PGD-LINF,0.05,0.026,40,DNN,0.5151,output/pgd-linf/pgd-linf_dnn_0.05-0.026-40.png
PGD-LINF,0.05,0.001,40,DNN,0.3135,output/pgd-linf/pgd-linf_dnn_0.05-0.001-40.png
